날짜	요일	가맹점명	지점코드	운영시간	총매출	카드매출	현금매출	배달매출	할인금액	순매출	총고객수	객단가	신규회원	재방문율(%)	피크타임고객수	아메리카노	카페라떼	바닐라라떼	카라멜마끼아또	콜드브루	논커피음료	디저트	MD상품	신메뉴	오전매출(7-12)	점심매출(12-14)	오후매출(14-18)	저녁매출(18-22)	원두재고(kg)	우유재고(박스)	시럽재고(병)	컵재고(개)	날씨	기온	근무인원	폐기량(잔)	특이사항
2025-09-03	수	강남역점	A001	15	966079	893732	72347	113577	33002	933077	155	6232	8	39	43	80	39	21	14	17	17	32	0	7	367110	270502	212537	115930	8	10	10	346	비	4	5	7	직원 교육 진행
2025-09-04	목	강남역점	A001	12	1389481	1195442	194039	167160	29723	1359758	224	6203	12	38	65	115	56	30	20	25	25	33	0	4	528002	389054	305685	166740	4.1	7	9	167	맑음	5	5	7	단체 주문 발생
2025-09-05	금	강남역점	A001	15	1265934	1150129	115805	151869	54754	1211180	204	6205	5	42	66	105	51	28	18	23	23	22	1	4	481054	354461	278505	151914	12	5	8	509	맑음	5	4	8	인근 행사로 유동인구 증가
2025-09-06	토	강남역점	A001	14	750930	674322	76608	147958	26712	724218	121	6206	12	40	41	62	30	16	11	13	13	10	2	9	225279	210260	165204	150187	9.9	3	7	412	흐림	2	2	3	인근 행사로 유동인구 증가
2025-09-07	일	강남역점	A001	14	564776	530545	34231	101686	12013	552763	91	6206	11	44	25	46	22	12	8	10	10	34	2	5	169432	158137	124250	112957	8.3	11	6	340	흐림	0	2	6	
2025-09-08	월	강남역점	A001	14	952806	862360	90446	113787	21255	931551	153	6227	11	42	50	78	38	21	14	17	17	30	0	7	362066	266785	209617	114338	5.7	9	5	218	흐림	2	5	7	
2025-09-09	화	강남역점	A001	12	1105848	1011258	94590	199922	50512	1055336	178	6212	15	49	46	91	44	24	16	20	20	17	2	8	420222	309637	243286	132703	9	7	4	535	흐림	0	3	5	
2025-09-10	수	강남역점	A001	15	1226149	1104142	122007	227955	58588	1167561	197	6224	9	40	58	101	49	27	18	22	22	29	0	8	465936	343321	269752	147140	5.6	5	3	377	흐림	2	4	5	인근 행사로 유동인구 증가
2025-09-11	목	강남역점	A001	13	1218016	1094332	123684	218541	25894	1192122	196	6214	15	45	57	101	49	27	18	22	22	22	5	14	462846	341044	267963	146163	9	3	9	220	흐림	0	5	2	신메뉴 출시 첫날
2025-09-12	금	강남역점	A001	15	1126509	1008229	118280	123068	47484	1079025	181	6223	13	45	51	93	45	24	16	20	20	24	4	9	428073	315422	247831	135183	5.9	10	8	412	비	4	4	8	
2025-09-13	토	강남역점	A001	11	543185	461948	81237	84867	15063	528122	87	6243	14	47	24	45	22	12	8	10	10	21	1	3	162955	152091	119500	108639	4.4	9	7	342	비	4	3	4	SNS 바이럴 효과
2025-09-14	일	강남역점	A001	11	513482	447130	66352	59164	16705	496777	82	6261	15	42	24	42	20	11	7	9	9	20	5	11	154044	143774	112966	102698	11	8	6	277	비	4	2	3	단체 주문 발생
2025-09-15	월	강남역점	A001	14	686893	624187	62706	136575	21829	665064	110	6244	12	43	37	56	27	15	10	12	12	10	5	12	261019	192330	151116	82428	9.1	6	5	189	눈	-2	4	6	
2025-09-16	화	강남역점	A001	14	1309469	1230653	78816	194940	57241	1252228	211	6206	9	35	72	108	53	29	19	24	24	22	2	4	497598	366651	288083	157137	5.5	3	4	599	흐림	2	4	7	
2025-09-17	수	강남역점	A001	14	1347409	1153416	193993	143759	50554	1296855	217	6209	17	37	58	112	54	29	19	24	24	29	0	9	512015	377274	296429	161691	9	11	3	425	맑음	5	3	2	
2025-09-18	목	강남역점	A001	15	1323957	1129650	194307	143908	39355	1284602	213	6215	15	48	58	109	53	29	19	24	24	30	0	7	503103	370707	291270	158877	5.3	8	8	255	맑음	3	5	7	직원 교육 진행
2025-09-19	금	강남역점	A001	13	1189907	1023521	166386	224528	49575	1140332	191	6229	9	46	61	98	48	26	17	21	21	22	4	8	452164	333173	261779	142791	12	6	7	582	맑음	3	4	4	인근 행사로 유동인구 증가
2025-09-20	토	강남역점	A001	10	534476	503212	31264	100928	22759	511717	86	6214	9	44	23	44	21	11	7	9	9	31	5	11	160342	149653	117584	106897	10.5	5	6	514	눈	-2	4	2	직원 교육 진행
2025-09-21	일	강남역점	A001	11	577885	528661	49224	75130	27816	550069	93	6213	10	38	24	47	23	12	8	10	10	16	3	12	173365	161807	127134	115579	8.9	4	5	440	눈	-2	3	2	인플루언서 방문
2025-09-22	월	강남역점	A001	13	881916	829301	52615	129552	25923	855993	142	6210	20	39	39	73	35	19	13	16	16	17	2	3	335128	246936	194021	105831	6.5	11	4	326	흐림	0	5	2	인플루언서 방문
2025-09-23	화	강남역점	A001	14	1121785	1056624	65161	149254	43361	1078424	180	6232	8	43	57	92	45	24	16	20	20	26	4	9	426278	314099	246792	134616	3.4	9	3	182	흐림	2	5	5	인플루언서 방문
2025-09-24	수	강남역점	A001	13	1090143	981127	109016	159950	40817	1049326	175	6229	9	50	58	90	44	24	16	20	20	22	5	10	414254	305240	239831	130818	10	7	11	564	흐림	0	3	3	인플루언서 방문
2025-09-25	목	강남역점	A001	13	855193	778625	76568	108375	24164	831029	137	6242	18	38	41	70	34	18	12	15	15	16	4	12	324973	239454	188142	102624	7.6	5	10	455	눈	-2	5	5	
2025-09-26	금	강남역점	A001	13	1109759	1038317	71442	131859	44342	1065417	178	6234	6	49	53	91	44	24	16	20	20	17	1	6	421708	310732	244146	133173	4.5	3	9	313	흐림	0	4	7	단체 주문 발생
2025-09-27	토	강남역점	A001	13	768337	666080	102257	103519	33099	735238	123	6246	9	37	37	63	31	16	11	14	14	35	2	8	230501	215134	169034	153668	11	10	8	215	맑음	5	2	5	
2025-09-28	일	강남역점	A001	11	732625	654579	78046	120275	29462	703163	118	6208	10	50	30	60	29	16	10	13	13	19	1	7	219787	205135	161177	146526	9	8	7	583	흐림	0	2	5	
2025-09-29	월	강남역점	A001	13	704988	629938	75050	90157	25474	679514	113	6238	13	45	28	58	28	15	10	12	12	25	2	8	267895	197396	155097	84600	7.1	6	6	493	눈	-2	5	5	
2025-09-30	화	강남역점	A001	15	1071193	964868	106325	192008	26011	1045182	172	6227	11	44	46	88	43	23	15	19	19	11	3	14	407053	299934	235662	128544	4.1	4	5	356	흐림	0	4	7	
2025-10-01	수	강남역점	A001	14	1129919	964735	165184	190763	33818	1096101	182	6208	6	40	51	94	45	25	16	20	20	10	3	15	429369	316377	248582	135591	11	12	4	210	맑음	7	3	8	
2025-10-02	목	강남역점	A001	13	1153929	1067507	86422	218887	38683	1115246	186	6203	14	36	54	95	46	25	17	21	21	30	1	12	438493	323100	253864	138472	7.8	10	3	498	맑음	3	5	3	SNS 바이럴 효과
2025-10-03	금	강남역점	A001	12	1436961	1345108	91853	268270	35798	1401163	231	6220	20	49	70	119	58	31	21	26	26	26	0	6	546045	402349	316131	172436	3.8	7	10	313	흐림	2	3	4	
