날짜	요일	가맹점명	지점코드	운영시간	총매출	카드매출	현금매출	배달매출	할인금액	순매출	총고객수	객단가	신규회원	재방문율(%)	피크타임고객수	아메리카노	카페라떼	바닐라라떼	카라멜마끼아또	콜드브루	논커피음료	디저트	MD상품	신메뉴	오전매출(7-12)	점심매출(12-14)	오후매출(14-18)	저녁매출(18-22)	원두재고(kg)	우유재고(박스)	시럽재고(병)	컵재고(개)	날씨	기온	근무인원	폐기량(잔)	특이사항
2025-09-03	수	판교테크노밸리점	C001	15	1410741	1299790	110951	309496	43196	1367545	227	6214	16	40	56	130	57	31	20	26	26	31	0	10	395007	352685	451437	211612	5	7	8	333	맑음	3	3	7	인플루언서 방문
2025-09-04	목	판교테크노밸리점	C001	13	1675613	1570096	105517	343745	39223	1636390	270	6205	18	41	68	155	68	37	24	31	31	31	2	7	469171	418903	536196	251343	11	4	7	449	맑음	5	5	7	
2025-09-05	금	판교테크노밸리점	C001	13	1417627	1207645	209982	295595	52656	1364971	228	6217	12	54	67	131	57	31	20	26	26	29	4	4	396935	354406	453640	212646	7.1	11	6	240	흐림	2	4	7	1+1 이벤트 진행
2025-09-06	토	판교테크노밸리점	C001	10	414413	379524	34889	86881	11824	402589	66	6278	14	46	18	37	16	9	6	7	7	18	4	12	82882	103603	132612	95316	6	10	5	180	맑음	3	4	8	
2025-09-07	일	판교테크노밸리점	C001	13	317856	282905	34951	77401	11863	305993	51	6232	16	49	15	29	12	6	4	5	5	27	5	3	63571	79464	101713	73108	5.1	9	4	534	비	4	2	7	
2025-09-08	월	판교테크노밸리점	C001	13	1455984	1376443	79541	307425	38887	1417097	234	6222	17	40	76	134	59	32	21	26	26	11	3	8	407675	363996	465914	218399	12	6	3	319	맑음	7	3	2	
2025-09-09	화	판교테크노밸리점	C001	12	1393788	1290498	103290	287612	34378	1359410	224	6222	16	47	57	128	56	30	20	25	25	21	3	8	390260	348447	446012	209069	8.1	3	8	501	흐림	0	3	6	인플루언서 방문
2025-09-10	수	판교테크노밸리점	C001	15	1493158	1356489	136669	224289	66300	1426858	240	6221	13	53	76	138	60	33	22	27	27	13	4	7	418084	373289	477810	223975	4	12	7	281	흐림	2	4	4	
2025-09-11	목	판교테크노밸리점	C001	15	1430057	1325644	104413	280564	30113	1399944	230	6217	12	44	63	132	58	31	21	26	26	24	1	3	400415	357514	457618	214510	8	9	6	559	흐림	0	3	3	
2025-09-12	금	판교테크노밸리점	C001	14	1279741	1097919	181822	233320	41414	1238327	206	6212	14	51	58	118	51	28	18	23	23	23	3	3	358327	319935	409517	191962	4.5	7	5	371	흐림	0	3	2	
2025-09-13	토	판교테크노밸리점	C001	14	374428	343463	30965	93494	9628	364800	60	6240	10	50	16	34	15	8	5	6	6	14	5	5	74885	93607	119816	86120	3.5	6	4	316	흐림	2	3	6	SNS 바이럴 효과
2025-09-14	일	판교테크노밸리점	C001	10	269273	248067	21206	64819	7271	262002	43	6262	14	54	14	24	10	5	3	4	4	24	2	11	53854	67318	86167	61934	8	5	3	277	눈	-2	4	6	인플루언서 방문
2025-09-15	월	판교테크노밸리점	C001	15	1334976	1152881	182095	297980	39075	1295901	215	6209	7	54	66	123	54	29	19	24	24	15	5	9	373793	333744	427192	200247	4.3	15	8	452	흐림	0	4	2	인근 공사로 유동인구 감소
2025-09-16	화	판교테크노밸리점	C001	13	1113146	1042794	70352	271375	23253	1089893	179	6218	19	47	47	102	45	24	16	20	20	28	0	3	311680	278286	356206	166974	9	13	7	288	눈	-2	4	8	에어컨 고장 수리
2025-09-17	수	판교테크노밸리점	C001	13	1411651	1257201	154450	317444	34468	1377183	227	6218	5	48	57	130	57	31	20	26	26	15	5	6	395262	352912	451728	211749	5.1	10	6	484	흐림	0	5	3	
2025-09-18	목	판교테크노밸리점	C001	15	920751	808923	111828	147789	44550	876201	148	6221	15	52	38	85	37	20	13	17	17	11	5	13	257810	230187	294640	138114	8	8	5	348	눈	-2	3	4	
2025-09-19	금	판교테크노밸리점	C001	14	1447522	1365153	82369	356728	37999	1409523	233	6212	6	55	60	133	58	32	21	26	26	16	2	14	405306	361880	463207	217129	4	5	4	416	흐림	0	4	8	SNS 바이럴 효과
2025-09-20	토	판교테크노밸리점	C001	11	431530	367814	63716	82657	8951	422579	69	6254	14	53	23	39	17	9	6	7	7	14	3	14	86306	107882	138089	99253	11	4	3	353	흐림	0	3	6	SNS 바이럴 효과
2025-09-21	일	판교테크노밸리점	C001	11	300670	256561	44109	57532	8220	292450	48	6263	14	54	16	27	12	6	4	5	5	16	4	13	60134	75167	96214	69155	10.2	3	10	309	눈	-2	2	2	
2025-09-22	월	판교테크노밸리점	C001	13	1468552	1395105	73447	336507	38035	1430517	236	6222	6	48	66	135	59	32	21	27	27	12	4	7	411194	367138	469936	220284	6.1	10	9	470	맑음	3	4	6	SNS 바이럴 효과
2025-09-23	화	판교테크노밸리점	C001	12	1211083	1048337	162746	260541	29266	1181817	195	6210	6	55	54	112	49	26	17	22	22	25	5	7	339103	302770	387546	181664	9	8	8	291	흐림	0	3	3	
2025-09-24	수	판교테크노밸리점	C001	13	1033482	940752	92730	258358	30432	1003050	166	6225	5	54	43	95	41	22	15	19	19	28	2	7	289374	258370	330714	155024	6.2	6	7	408	눈	-2	4	3	배달앱 프로모션 진행
2025-09-25	목	판교테크노밸리점	C001	14	1049124	892662	156462	233110	31620	1017504	169	6207	11	54	50	97	42	23	15	19	19	21	5	11	293754	262281	335719	157370	3.3	4	6	253	비	4	4	4	직원 교육 진행
2025-09-26	금	판교테크노밸리점	C001	14	1202578	1091750	110828	296147	43674	1158904	193	6230	9	51	58	110	48	26	17	22	22	23	0	15	336721	300644	384824	180389	8	15	5	554	비	4	5	2	인근 공사로 유동인구 감소
2025-09-27	토	판교테크노밸리점	C001	12	441344	389256	52088	75801	16629	424715	71	6216	7	55	24	40	17	9	6	8	8	20	4	7	88268	110336	141230	101510	6.8	14	4	490	맑음	3	2	8	단체 주문 발생
2025-09-28	일	판교테크노밸리점	C001	10	366787	338252	28535	58046	12079	354708	59	6216	8	42	19	33	14	8	5	6	6	11	0	15	73357	91696	117371	84363	5.8	13	3	437	흐림	0	2	4	인근 행사로 유동인구 증가
2025-09-29	월	판교테크노밸리점	C001	12	1585970	1456284	129686	309902	74440	1511530	255	6219	12	41	86	146	64	35	23	29	29	29	0	5	444071	396492	507510	237897	9	10	11	203	맑음	7	4	7	
