날짜	요일	가맹점명	지점코드	운영시간	총매출	카드매출	현금매출	배달매출	할인금액	순매출	총고객수	객단가	신규회원	재방문율(%)	피크타임고객수	아메리카노	카페라떼	바닐라라떼	카라멜마끼아또	콜드브루	논커피음료	디저트	MD상품	신메뉴	오전매출(7-12)	점심매출(12-14)	오후매출(14-18)	저녁매출(18-22)	원두재고(kg)	우유재고(박스)	시럽재고(병)	컵재고(개)	날씨	기온	근무인원	폐기량(잔)	특이사항
2025-09-03	수	잠실롯데월드점	D001	12	1140939	1034737	106202	116909	55516	1085423	207	5511	11	32	61	59	52	28	19	23	23	30	4	7	285234	399328	285234	171143	10	6	6	473	맑음	5	5	8	단체 주문 발생
2025-09-04	목	잠실롯데월드점	D001	14	1238336	1085459	152877	182908	44108	1194228	225	5503	20	23	78	64	56	30	20	25	25	33	1	7	309584	433417	309584	185751	6.1	3	5	370	맑음	3	3	3	신메뉴 출시 첫날
2025-09-05	금	잠실롯데월드점	D001	14	1128373	976486	151887	119216	34530	1093843	205	5504	19	27	59	58	51	28	18	23	23	31	1	13	282093	394930	282093	169257	8	15	4	276	맑음	7	5	8	
2025-09-06	토	잠실롯데월드점	D001	11	2015984	1742431	273553	159495	52670	1963314	366	5508	17	33	115	105	92	50	33	42	42	12	2	15	342717	705594	503996	463677	8	11	3	459	맑음	5	3	7	인근 행사로 유동인구 증가
2025-09-07	일	잠실롯데월드점	D001	10	1275715	1156942	118773	65150	25539	1250176	231	5522	18	30	69	66	58	31	21	26	26	25	2	10	216871	446500	318928	293416	4	8	11	353	눈	-2	2	7	
2025-09-08	월	잠실롯데월드점	D001	12	879095	782176	96919	70595	25176	853919	159	5528	9	34	48	45	40	21	14	18	18	15	1	15	219773	307683	219773	131866	12	6	10	281	맑음	7	3	2	단체 주문 발생
2025-09-09	화	잠실롯데월드점	D001	14	626582	575200	51382	39977	13742	612840	113	5544	7	21	36	32	28	15	10	12	12	24	1	4	156645	219303	156645	93989	10.1	4	9	230	눈	-2	5	2	
2025-09-10	수	잠실롯데월드점	D001	14	1187635	1092544	95091	122321	35720	1151915	215	5523	15	35	62	61	54	29	19	24	24	16	5	4	296908	415672	296908	178147	6.4	15	8	580	맑음	5	4	2	
2025-09-11	목	잠실롯데월드점	D001	12	743796	693704	50092	51941	23285	720511	135	5509	10	20	40	38	34	18	12	15	15	17	2	7	185949	260328	185949	111570	4.1	13	7	518	눈	-2	5	4	인근 공사로 유동인구 감소
2025-09-12	금	잠실롯데월드점	D001	14	1204112	1031735	172377	169998	26013	1178099	218	5523	10	29	61	62	55	30	20	25	25	28	0	3	301028	421439	301028	180617	9	10	6	418	맑음	7	3	8	
